    °„C	        No	    CH0	            CH1	            CH2	            CH3
33.045	204	0.1169133256	1273.6667855779	0.4639690199	-0.1223733498
33.072	205	0.1169240544	1272.0164222727	0.4638803282	-0.1227792575
33.110	206	0.1169393132	1270.3766983972	0.4637940206	-0.1231949403
33.147	207	0.1169543336	1268.7476139514	0.4637075939	-0.1236234977
33.179	208	0.1169670890	1267.1373049699	0.4635849275	-0.1240488365
33.212	209	0.1169803212	1265.5370095692	0.4635376014	-0.1244559362
33.238	210	0.1169905732	1263.9511086912	0.4634536781	-0.1248641089
33.274	211	0.1170052360	1262.3796023357	0.4633703508	-0.1252725199
33.297	212	0.1170145343	1260.8149803171	0.4632863082	-0.1256710366
33.333	213	0.1170289586	1259.2710113091	0.4632036962	-0.1260910109
33.356	214	0.1170380185	1257.7364300332	0.4631214418	-0.1264995412
33.386	215	0.1170499395	1256.2137398847	0.4630407371	-0.1269040183
33.422	216	0.1170646022	1254.7054442588	0.4629582443	-0.1273109989
33.446	217	0.1170741389	1253.2109173066	0.4628805198	-0.1277104692
33.481	218	0.1170882056	1251.7239005401	0.4627990999	-0.1281054096
33.514	219	0.1171014379	1250.2506524474	0.4627226867	-0.1285139399
33.533	220	0.1171090673	1248.7905471796	0.4626431741	-0.1289180594
33.564	221	0.1171213458	1247.3460881320	0.4625655688	-0.1293242055
33.600	222	0.1171357702	1245.9097651189	0.4624891557	-0.1297485906
33.622	223	0.1171445916	1244.4878366284	0.4624111928	-0.1301488954
33.649	224	0.1171553205	1243.0709149284	0.4623334683	-0.1305496770
