    °„C	        No	    CH0	            CH1	            CH2	            CH3
36.383	209	0.1182508539	1436.6584680473	0.4722670598	-0.3145718762
36.418	210	0.1182646822	1435.0913426334	0.4721997066	-0.3144766280
36.451	211	0.1182779144	1433.5311015565	0.4721299691	-0.3143786379
36.480	212	0.1182897161	1431.9677312355	0.4720655961	-0.3143007943
36.504	213	0.1182992529	1430.4137486466	0.4719945474	-0.3142415472
36.538	214	0.1183130812	1428.8560109649	0.4719267173	-0.3141641804
36.565	215	0.1183235716	1427.2976474343	0.4718597217	-0.3140856215
36.597	216	0.1183366846	1425.7442906943	0.4717914147	-0.3139959761
36.617	217	0.1183445524	1424.1940631982	0.4717240615	-0.3139038273
36.641	218	0.1183540892	1422.6450873998	0.4716551585	-0.3138219305
36.673	219	0.1183668446	1421.1011183918	0.4715884013	-0.3137271591
36.708	220	0.1183809113	1419.5621561743	0.4715217633	-0.3136323877
36.744	221	0.1183954548	1418.0156837711	0.4714535756	-0.3135400005
36.763	222	0.1184032034	1416.4779732512	0.4713866992	-0.3134460636
36.795	223	0.1184157204	1414.9452695218	0.4713170809	-0.3133516498
36.830	224	0.1184299063	1413.4113140947	0.4712504429	-0.3132568785
36.852	225	0.1184388470	1411.8798620629	0.4711811823	-0.3131581732
36.887	226	0.1184526753	1410.3484100311	0.4711150212	-0.3130605407
36.919	227	0.1184653114	1408.8219647897	0.4710402769	-0.3129804321
36.940	228	0.1184740137	1407.2992746412	0.4709794802	-0.3128977008
36.970	229	0.1184860539	1405.7809654344	0.4709122462	-0.3128144928
37.003	230	0.1184990477	1404.2557718906	0.4708469195	-0.3127373643
37.033	231	0.1185113262	1402.7337075909	0.4707769436	-0.3126557060
37.066	232	0.1185242008	1401.2172759305	0.4707068485	-0.3125738092
37.101	233	0.1185382675	1399.7114836998	0.4706412834	-0.3124880977
37.133	234	0.1185511421	1398.1975554346	0.4705760759	-0.3124038167
37.163	235	0.1185631823	1396.6848788670	0.4705070538	-0.3123249002
